SkyTemple ID,Friendly Name,Status,Notes
D19P11A,Dark Future Frozen Waterfall,Not Started,
D20P11A,Dark Hills Entrance,Not Started,
D21P41A,Spiritomb Boss Arena,Not Started,
D22P11A,Dusk Forest Entrance,Not Started,
D23P11A,Dusk Forest End,Not Started,
D24P11A,Treeshroud Forest Entrance,Not Started,
D24P31A,Treeshroud Forest End (Normal),Not Started,
D24P31B,Treeshroud Forest End (Paralysis),Not Started,
D25P11A,Brine Cave Entrance,Not Started,
D26P31A,Brine Cave End,Not Started,
D26P43A,Kabutops Boss Arena,Not Started,
D27P11A,Hidden Land Entrance,Not Started,
D28P31A,Legendary Pokemon Hallway,Not Started,
D28P32A,Stairway to Rainbow Stoneship,Not Started,
D28P33A,Rainbow Stoneship (Intact),Not Started,
D28P33C,Rainbow Stoneship (Middle missing),Not Started,
D28P34A,Rainbow Stoneship East,Not Started,
D28P44A,Dusknoir Boss Arena,Not Started,
D289P11A,Temporal Tower Entrance,Not Started,
D30P32A,Top of Temporal Tower (Normal Sky),Not Started,
D30P33A,Top of Temporal Tower (Red Sky),Not Started,
D31P11A,Mystifying Forest Entrance,Not Started,
D31P31A,Mystifying Forest Pit,Not Started,
D31P41A,Guild Boss Arena,Not Started,
D32P14A,Aegis Cave Entrance,Not Started,
D32P44A,Regigigas Boss Arena,Not Started,
D36P11A,Mt Travail Entrance,Not Started,
D36P41A,Mt Travail End,Not Started,
D40P11A,Dark Crater Entrance,Not Started,
D41P41A,Darkrai Boss Arena,Not Started,
D42P31A,Star Cave 1,Not Started,
D42P42A,Star Cave 2,Not Started,
D43P31A,Murky Forest,Not Started,
D44P31A,Eastern Cave,Not Started,
D45P31A,Fortune Ravine Door with Trapdoor,Not Started,
D46P42A,Fortune Ravine Pit,Not Started,
D46P11A,Special Episode 5 – 1,Not Started,
D46P31A,Special Episode 5 – 2,Not Started,
D47P11A,Special Episode 5 – 3,Not Started,
D48P11A,Special Episode 5 – 4,Not Started,
D49P41A,Special Episode 5 – 5,Not Started,
D50P11A,Special Episode 5 – 6,Not Started,
D51P11A,Special Episode 5 – 7,Not Started,
D51P41A,Special Episode 5 – 8,Not Started,
D512P11A,Special Episode 5 – 9,Not Started,
D52P11C,Special Episode 5 – 10,Not Started,
D52P31A,Special Episode 5 – 11,Not Started,
D52P32A,Special Episode 5 – 12,Not Started,
D523P11A,Special Episode 5 – 13,Not Started,
D53P11B,Special Episode 5 – 14,Not Started,
D53P41A,Special Episode 5 – 15,Not Started,
D53P41B,Special Episode 5 – 16,Needs Attention,"There’s a lot of animation going on in this scene. Not sure what it is, but it took a long time load in SkyTemple."
D53P41C,Special Episode 5 – 17,Not Started,
D54P11A,Southern Jungle Entrance,Not Started,
D54P31A,Southern Jungle End 1,Not Started,
D54P32A,Southern Jungle End 2,Not Started,
D55P11A,Boulder Quarry Entrance,Not Started,
D55P41A,Boulder Quarry End,Not Started,
D56P11A,Left/Right Cave Path Entrance,Not Started,
D56P12A,Limestone Cavern Entrance,Not Started,
D56P41A,Limestone Cavern End,Not Started,
D57P41A,Special Episode 3 – 1,Not Started,
D57P42A,Special Episode 3 – 2,Not Started,
D57P43A,Special Episode 3 – 3,Not Started,
D57P44A,Special Episode 3 – 4,Not Started,
D73P21A,Sky Peak – 1,Not Started,
D73P29A,Sky Peak – 2,Not Started,
D73P31A,Sky Peak – 3,Not Started,
D73P41A,Sky Peak – 4,Not Started,
D79P11A,Crevice Cave Entrance,Not Started,
G01P01B,Wigglytuff’s Guild Exterior (Sunset),?,
G01P01C,Wigglytuff’s Guild Exterior (Night),?,
G01P02A,Wigglytuff’s Guild Entrance,?,
G01P03A,Wigglytuff’s Guild Job Boards Room,?,
G01P04A,Wigglytuff’s Guild Swap Shop Room (Day),?,
G01P04C,Wigglytuff’s Guild Swap Shop Room (Night),?,
G01P05A,Wigglytuff’s Guild Guildmaster’s Room (Day),?,
G01P05C,Wigglytuff’s Guild Guildmaster’s Room (Night),?,
G01P06A,Wigglytuff’s Guild Mess Hall (Day),?,
G01P06A,Wigglytuff’s Guild Mess Hall (Night),?,
G01P07A,Wigglytuff’s Guild Hero/Partner Beds (Day),?,
G01P07C,Wigglytuff’s Guild Hero/Partner Beds (Trippy Animation),?,
G01P08A,Wigglytuff’s Guild Quarters Hallway,?,
G01P09A,Wigglytuff’s Guild North Quarters (Day),?,
G01P09C,Wigglytuff’s Guild North Quarters (Night),?,
G01P10A,Wigglytuff’s Guild South Quarters (Day),?,
G01P10C,Wigglytuff’s Guild South Quarters (Night),?,
H01P99A,"Sharpedo Bluff (Day, Stairs Visible)",?,
H01P99C,"Sharpedo Bluff (Night, Stairs Visible)",?,
H01P99D,"Sharpedo Bluff (Trippy Animation, Stairs Visible)",?,
H01P99E,"Sharpedo Bluff (Sunrise, Stairs Visible)",?,
H02P99A,Sharpedo Bluff Interior (Day),?,
H02P99C,Sharpedo Bluff Interior (Night),?,
P01P01A,Crossroads (Spinda Rock in place),?,
P01P02A,Path to Beach,?,
P01P03A,Crossroads (No rock),?,
P01P04A,Spinda’s Cafe,?,
P02P01A,Hot Spring,?,
P03P01A,Groudon Statue,?,
P04P01C,Fogbound Lake,?,
P05P01A,Primal Dialga’s Lair,?,
P05P02A,Dark Future Dungeon (Door Closed),?,
P05P02A2,Dark Future Dungeon (Door Open),?,
P05P03A,Stockade,?,
P05P04A,Stockade Exit,?,
P06P01A,Dark Future Vista with Lights In Distance,?,
P07P01A,Dark Future Rocky Path with Alcove,?,
P08P01A,Dark Future Forest Path,?,
P09P01A,Dark Future Passage of Time Cutscene,?,
P10P01A,Watery Cave with rocky terrain (I don’t remember),?,
P11P01A,Brine Cave Lapras Room,?,
P12P01A,Rainbow Stoneship in flight,?,
P12P02A,Rainbow Stoneship destination,?,
P13P01A,Path to Temporal Tower (Hero Disappears),?,
P14P01A,Luminous Spring,?,
P15P01A,Bidoof’s House Exterior,?,
P16P01A,Igglybuff Meadow,?,
P17P01A,Igglybuff’s House Exterior,?,
P17P02A,Igglybuff’s House Interior (Day),?,
P17P02C,Igglybuff’s House Interior (Night),?,
P18P01A,Rocky Path with lightning,?,
P19P01A,Armaldo’s Hideout (exterior),?,
P19P02A,Armaldo’s Hideout (interior),?,
P20P01A,Team Charm Treasure Room 1 (Pillars),?,
P20P02A,Team Charm Treasure Room 2 (Tree Stump),?,
P20P03A,Team Charm Treasure Room 3 (Lots of Chests),?,
P21P02A,"Grassy Path, Cave Entrance to the right",?,
P22P01A,"Cave Exit south, Ruins to the north (Armaldo arrest)",?,
P23P01A,Dark Future Vista Prarie,?,
P23P02A,Dark Future Mountain Pass,?,
P24P01A,Dark Future Hidden Land Entrance,?,
P25P01A,Dark Future Icy Alcove,?,
P26P01A,Team Charm Statue Disguise Room,?,
P27P01A,Cliff Overlook,?,
P28P01A,Time Gear Watery Cave (Main Menu Visual),?,
V00P01,"Stormy Sky, Moving Waves",?,
V00P02,"Moving Waves, Distant Cliffs",?,
V0P03,Waterfall Cave Eruption,?,
V01P02A,Sharpedo Bluff silhouette (with and without lightning),?,
V01P03A,Beach Vista Top Screen (Day),?,
V01P03B,Beach Vista Top Screen (Sunset 1),?,
V01P03C,Beach Vista Top Screen (Sunset 2),?,
V01P04B,Krabby Blowing Bubbles 1,?,
V01P05B,Krabby Blowing Bubbles 2,?,
V01P06B,Relic Fragment on Sand,?,
V01P07B,"Moving Waves, Distant Cliffs, Lightning in Clouds",?,
V01P08B,Wigglytuff’s Guild Gate Perspective Shot,?,
V02P01A,"Sunset Sky, Stars Visible",?,
V02P02A,Footprint Grate,?,
V02P03A,Sentry Post,?,
V02P06A,Moon in Starry Sky,?,
V02P07A,Job Bulletin Board,?,
V02P08A,New Team Starter Kit,?,
V03P01A,Outlaw Bulletin Board (Normal),?,
V03P02A,Outlaw Bulletin Board (Flipped),?,
V03P03A,Behind the Outlaw Bulletin Board,?,
V03P04A,Drowzee’s Wanted Poster,?,
V03P05C,"Dark, Stormy Sky",?,
V03P06A,Treeshroud Forest Time Gear Shrine (normal),?,
V03P06B,Treeshroud Forest Time Gear Shrine (paralyzed),?,
V03P07A,"Time Gear Shrine, Underground Lake",?,
V03P08A,"Time Gear Shrine, Volcano",?,
V03P09A,HR Giger Painting (What is this?),?,
V03P11A,Forest Path (Grovyle running cutscene),?,
V03P12A,Grovyle Art,?,
V03P13A,Outlaw Bulletin Board 2,?,
V04P01A,Guild Underground Cross-section,?,
V04P02A,Looking up at the Footprint Grate,?,
V04P03A,Looking up at the Footprint Grate (Sentry minigame),?,
V05P01A,Forest Paralysis 1,?,
V05P02A,Forest Paralysis 2,?,
V05P05A,Dream Wave (Green),?,
V09P01A,Groudon Statue Plaque,?,
V09P04A,Fogbound Lake Visible,?,
V10P01C,"Fogbound Lake, No Geyser",?,
V10P03C,Fogbound Lake Geyser,?,
V12P01A,"Looking up at the Sun, lens flare",?,
V13P01A,Grovyle’s Wanted Poster,?,
V14P01A,Distant Time Gear in Underground Lake,?,
V14P03A,Underground Lake Cave Walls,?,
V14P04A,Underground Lake Cave Walls (likely part of the paralysis cutscene?),?,
V15P01A,Blue Crystal with Shards,?,
V15P02A,Crystal Cave Lake,?,
V16P02A,Time Travel,?,
V17P01A,"Nighttime, Cloudy Sky",?,
V17P02A,Crumbling Distant Temporal Tower,?,
V17P03A,Dark Future Vista 2,?,
V19P01A,Primal Dialga’s Eyes,?,
V19P02A,Primal Dialga’s Roar Platform (no vfx),?,
V19P03A,Primal Dialga’s Roar Platform (vfx),?,
V19P04A,Primal Dialga Pulsing,?,
V19P05A,Primal Dialga Chest Glowing,?,
V19P06A,Screen Crack,?,
V21P01A,Sharpedo Bluff Vista (Day),?,
V21P02A,Trippy Sky Thing?,?,
V21P02B,"Sunrise Sky, Rocky Hills",?,
V22P01A,Sunset over Ocean,?,
V22P02A,Sunset over Ocean Detailed,?,
V22P03A,Moon over Ocean with Cliffs,?,
V23P01A,Chatot looking up at Kabutops,?,
V23P04A,Lapras Approaching Brine Cave,?,
V23P05A,Relic Fragment Glyph on Wall,?,
V24P01A,Lapras Traveling Across the Ocean (night),?,
V24P02A,Lapras Traveling Across the Ocean (dusk),?,
V24P03A,Lapras Starts Flying,?,
V24P05A,The Hidden Land Becomes Visible,?,
V24P06A,Lapras Arrives at the Hidden Land,?,
V24P07A,Temporal Tower Looms In the Distance,?,
V24P08A,Trippy Sun with Clouds?,?,
V24P09A,Ocean with Sky,?,
V25P01A,Temporal Tower as seen from Rainbow Stoneship,?,
V25P02A,Looking up at Temporal Tower,?,
V25P03A,Red Swirling Clouds,?,
V25P04A,"Temporal Tower Time Gear Receptacle (red, broken)",?,
V26P01A,Temporal Tower Time Gear Receptacle (repaired),?,
V26P02A,Temporal Tower and Hidden Land (repaired),?,
V26P03A,"Temporal Tower Repaired, Sunlight with god rays (closeup)",?,
V26P04A,"Temporal Tower Repaired, Sunlight with god rays (far away)",?,
V26P05A,Credits bottom screen,?,
V26P06A,Credits top screen,?,
V26P07A,Primal Dialga’s Roar Platform (unparalyzed),?,
V26P09A,"Forest with clouds, animated",?,
V26P10A,Water droplet falling off leaf (trippy),?,
V26P11A,END,?,
V28P01A,Distant cave archway entrance in desert,?,
V31P01A,Dark night sky with stars,?,
V31P02A,Vertical dream wave (green),?,
V32P01A,"Skeletal trees, river, mountains in distance",?,
V33P01A,Ruins,?,
V34P01A,Haunter Wanted Poster,?,
V37P01A,Sky Peak in distance,?,
V37P02A,Gracedia Meadow,?,
V37P03A,"Gracedia Overlook, cloudy mountains, night sky",?,
V38P01A,Dark Future Icy Vista,?,
V38P02A,Dark Future Icy Spikes,?,
V38P03A,Dark Future Icy Spike Purple Lightning,?,
V38P04A,Dark Future Rocky Cliff from below,?,
V38P05A,Restored Future Aurora Borealis,?,
V38P06A,"Something in SE5, trippy",?,
V38P06C,Restored Future Sunrise,?,
V38P06D,Restored Future Sky,?,
V38P07A,Restored Future Glowing Icy Mountains,?,
V38P08A,Restored Future High Rock Walls,?,
V38P09A,Restored Future Sunrise Sky,?,
V38P10A,Restored Future Trees 1,?,
V38P11A,Restored Future Trees 2,?,
V39P01A,Restored Future Rocks at Dusk,?,
V39P02A,Restored Future Rocky Outcroppings,?,
V39P03A,Trippy Time Gear thing,?,
